Chart Number,Response Time,Correct
1,12.083667039871216,True
2,16.41748070716858,True
3,16.925015687942505,True
4,11.065161228179932,True
5,15.159542560577393,True
6,18.045917987823486,True
7,13.56238055229187,True
8,23.137552738189697,True
9,10.862747430801392,False
10,12.175809144973755,False
11,18.65341067314148,False
12,12.780714750289917,True
13,9.911890268325806,True
14,15.27937912940979,True
15,7.656755208969116,True
16,5.297528028488159,True
17,17.862424612045288,True
18,11.591689348220825,True
19,6.631168842315674,True
20,7.969262361526489,False
