Chart Number,Response Time,Correct
1,19.818471908569336,False
2,17.755789518356323,False
3,11.488248825073242,True
4,27.680600881576538,True
5,13.941723108291626,True
6,19.662174701690674,True
7,10.018644571304321,True
8,9.31530499458313,False
9,10.15931224822998,True
10,9.878763437271118,True
11,13.34777307510376,True
12,26.35207986831665,True
13,4.282540798187256,True
14,47.01062536239624,False
15,11.190872192382812,True
16,8.659340858459473,True
17,4.892098665237427,True
18,13.222734451293945,True
19,11.425313472747803,True
20,7.642922878265381,True
