Chart Number,Response Time,Correct
1,14.12925672531128,True
2,9.800212621688843,False
3,5.767359256744385,True
4,8.691149950027466,True
5,10.082659721374512,False
6,21.914914846420288,True
7,15.333124876022339,True
8,10.862666606903076,True
9,13.504441499710083,True
10,11.925463199615479,True
11,11.409688949584961,False
12,9.36219310760498,True
13,14.676333665847778,True
14,12.55167031288147,True
15,20.6624653339386,True
16,22.227890491485596,True
17,10.879777431488037,True
18,14.004199743270874,True
19,10.862646579742432,True
20,12.722620487213135,False
